시트,항목,내값,단위,메모
0_기준,기준일,,,YYYY-MM-DD
0_기준,이름_또는_케이스명,,,
0_기준,현재나이,,,세
0_기준,월급단절_예정나이,,,세
0_기준,국민연금_정상개시나이,,,세
0_기준,목표_월생활비,,,만원
0_기준,버퍼_월환산,,,만원
0_기준,목표_월순현금흐름,,,만원 (=생활비+버퍼)
0_기준,건보상태,,,직장/피부양/지역
1_수입,국민연금_월세전,,,만원
1_수입,국민연금_월세후,,,만원
1_수입,국민연금_개시나이,,,세
1_수입,조기수령_검토여부,,,Y/N
1_수입,조기수령시_월액,,,만원 (감액 반영)
1_수입,연금저축_잔액,,,만원
1_수입,연금저축_월인출_세전,,,만원
1_수입,연금저축_월인출_세후,,,만원
1_수입,IRP_잔액,,,만원
1_수입,IRP_이연퇴직소득,,,만원
1_수입,IRP_월인출_세전,,,만원
1_수입,IRP_월인출_세후,,,만원
1_수입,배당ETF_평가액,,,만원
1_수입,배당_월세전,,,만원
1_수입,배당_월세후,,,만원
1_수입,임대_월세후,,,만원
1_수입,기타소득_월세후,,,만원
1_수입,확정성_월세후_합계,,,만원 (수식권장)
1_수입,사적연금_연수령합계,,,만원 (연금저축+IRP 세전×12)
1_수입,사적_1500한도_여유,,,만원 (1500-연수령)
2_자산,현금_MMF,,,만원
2_자산,예금_단기채,,,만원
2_자산,성장_지수ETF,,,만원
2_자산,배당ETF,,,만원
2_자산,부동산_거주,,,만원 (시가,참고)
2_자산,부동산_투자,,,만원
2_자산,금융자산_합계,,,만원
2_자산,부채_월상환,,,만원
2_자산,순금융자산,,,만원
2_지출,숨은지출1_건보장기요양_월,,,만원
2_지출,숨은지출2_보험료_월,,,만원
2_지출,숨은지출3_세금적립_월,,,만원
2_지출,숨은지출4_주거유지_월,,,만원
2_지출,숨은지출5_가족경조여행_월,,,만원
2_갭,목표_월순현금흐름,,,만원 (0_기준과동일)
2_갭,확정성_월세후,,,만원
2_갭,월갭_부족또는여유,,,만원 (목표-확정성)
2_갭,연인출률_퍼센트,,, % (연버킷인출/금융자산×100)
3_세금,세액공제_미적용원금,,,만원
3_세금,이연퇴직소득,,,만원
3_세금,세액공제분_및_운용수익,,,만원
3_세금,적용예상_연금소득세율,,, % (55-69:5.5 / 70-79:4.4 / 80+:3.3)
3_세금,사적_1500이하_여부,,,Y/N
3_세금,1500초과시_선택,,,종합/분리16.5/해당없음
3_세금,배당_금융소득_연,,,만원
3_세금,금융소득종합과세_위험,,,Y/N/관찰
3_세금,연간세금_러프,,,만원
3_건보,피부양_유지목표,,,Y/N
3_건보,연소득_합산점검액,,,만원
3_건보,다음확인일,,,YYYY-MM-DD
4_버킷,버킷1_목표,,,만원 (월목표×18)
4_버킷,버킷1_현재,,,만원
4_버킷,버킷1_갭,,,만원
4_버킷,버킷2_목표,,,만원 (월목표×60 등)
4_버킷,버킷2_현재,,,만원
4_버킷,버킷2_갭,,,만원
4_버킷,버킷3_현재,,,만원
4_규칙,사적_월인출_세전_캡,,,만원
4_규칙,인출률_상한_퍼센트,,, %
4_규칙,인출우선순위_한줄,,,
4_규칙,리밸런싱주기,,,예:매년7월
5_시나리오A,가정,,,
5_시나리오A,월세후합,,,만원
5_시나리오A,갭,,,만원
5_시나리오A,대응_한줄,,,
5_시나리오B,가정,,,
5_시나리오B,월세후합,,,만원
5_시나리오B,갭,,,만원
5_시나리오B,대응_한줄,,,
5_시나리오C,가정,,,
5_시나리오C,월세후합,,,만원
5_시나리오C,갭,,,만원
5_시나리오C,대응_한줄,,,
6_90일,D1_14_할일,,,
6_90일,D1_14_완료기준,,,
6_90일,D15_45_할일,,,
6_90일,D15_45_완료기준,,,
6_90일,D46_90_할일,,,
6_90일,D46_90_완료기준,,,
6_90일,다음점검일,,,YYYY-MM-DD
9_대시보드,목표_월,,,만원
9_대시보드,확정_월세후,,,만원
9_대시보드,갭,,,만원
9_대시보드,사적_연수령,,,만원
9_대시보드,인출률,,, %
9_대시보드,건보상태,,,
9_대시보드,다음액션1,,,
9_대시보드,다음액션2,,,
9_대시보드,다음액션3,,,
