시트,항목,Case0_55세_5억,Case1_58세_10억,Case2_60세_4억,단위
0_기준,기준일,2026-07,2026-07,2026-07,
0_기준,현재나이,55,58,60,세
0_기준,월급단절,55(지금),58(지금),59(1년차),세
0_기준,국민연금_정상개시,65,65,64,세
0_기준,국민연금_월세전,100,130,120,만원
0_기준,목표_당초,380,500,300,만원
0_기준,목표_권장,340,420,300,만원
0_기준,건보,피부양목표,지역예상,피부양중,
1_수입,사적_월세전,120,100,90,만원
1_수입,사적_월세후,113,94,85,만원
1_수입,배당_월세후,14,42,10,만원
1_수입,확정성_월세후합,127,136,95,만원
1_수입,사적_연수령,1440,1200,1080,만원
1_수입,1500여유,60,300,420,만원
2_자산,금융자산합계,50000,100000,40000,만원
2_자산,현금MMF,6000,10000,5000,만원
2_자산,예금단기채,9000,15000,8000,만원
2_자산,성장ETF,15000,30000,10000,만원
2_자산,배당ETF,5000,15000,3000,만원
2_자산,연금저축,8000,12000,6000,만원
2_자산,IRP,12000,18000,8000,만원
2_갭,월갭_버킷보충,213,284,205,만원
2_갭,연인출률_권장목표,약4.0-4.5,약4.2,약4.5-5(브릿지한시),%
3_세금,적용세율,5.5,5.5,5.5,%
3_세금,1500이하,Y,Y,Y,
3_건보,핵심주의,피부양유지,지역건보월35가정,조기수령시피부양리스크,
4_버킷,버킷1목표,약6800,약7600,약5400,만원
4_버킷,버킷1현재,6000,10000,5000,만원
4_버킷,버킷2이슈,얇음→보강,1.5억→2.5억목표,+2000만,
4_규칙,사적캡_월세전,120,100,90,만원
4_규칙,국민연금전략,65까지브릿지,65까지브릿지,조기X_브릿지Y권장,
5_시나리오,A,기본유지,420유지,브릿지4년,
5_시나리오,B,생활290+알바,생활360,생활250,
5_시나리오,C,조기은퇴심화,500고집비권장,조기는최후,
9_대시보드,한줄처방,목표↓+버킷2,500포기+건보포함,조기말고브릿지,
